,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Nor_kingfish,Red_White_or_Spotted_hake,Atl_menhaden_LS16_or_river_herrings,Seaboard_goby,Silver_perch(nibea93),Atl_silverside,Nor_pipefish,Str_bass,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Longitude,Latitude,station,Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
0,0.0,0.021454037,0.040536508,0.0,0.013349877,0.0,0.024767948,0.006894819,0.084810981,0.0,0.0,0.12961945,0.0,0.005135776,0.017810306,0.507750781,0.0,0.0,0.047572678,0.0,0.011041133,0.052991158,0.010271552,0.019537937,0.000251292,0.0,-74.568,38.874,10.0,5.956091127593395,5.913677412131941,30.449175843906165,30.469611970917377,0.04241371546145434,0.020436127011212335
1,0.0,0.0133877,0.009241067,0.0,0.028127993,0.0,0.054103686,0.0,0.009626112,0.016941957,0.0,0.120489303,0.000720724,0.0,0.010021029,0.616979474,0.0,0.0,0.014355248,0.0,0.0,0.061162834,0.0,0.024781068,0.0,0.0,-74.618,38.724,11.0,6.265040183701281,6.349604392799629,30.64721985954744,30.878289954240138,0.08456420909834783,0.23107009469269713
2,0.030300725,0.01137466,0.013219714,0.02664866,0.064405684,0.02096133,0.0,0.006124817,0.032469138,0.0,0.0,0.164323892,0.017499477,0.0,0.042721549,0.376219733,0.025469347,0.0,0.148935766,0.0,0.019325509,0.0,0.0,0.0,0.0,0.0,-74.672,38.728,12.0,6.141931400277886,6.000855326662392,30.286460281795133,30.50154996592557,0.14107607361549412,0.2150896841304366
3,0.002776513,0.020035317,0.002676558,0.003509512,0.0,0.00506436,0.015581791,0.0,0.011550294,0.004231406,0.003320709,0.128852412,0.006585889,0.0,0.09403494,0.591430571,0.0,0.003742739,0.026487933,0.0,0.007963039,0.032551837,0.0,0.005586344,0.003753845,0.027043236,-74.928,38.905,13.0,5.5638576297406885,5.5912108158913565,30.637450705348865,30.59531948441968,0.027353186150667952,0.04213122092918553
4,0.01625718,0.040471536,0.004414639,0.000487174,0.001678044,0.0,0.037752985,0.000421015,0.037758999,0.024912038,0.000926232,0.063873936,0.000342826,0.0,0.14885875,0.157844405,0.002201305,0.005082248,0.012486091,0.382997023,0.038005593,0.008853337,0.000402971,0.003488407,0.000553334,0.007909061,-74.969,38.843,14.0,5.4514337983688215,5.624358567910724,29.02396680717238,30.008846895396747,0.17292476954190228,0.9848800882243687
5,0.007542511,0.06249509,0.007430271,0.000437735,0.000202032,0.0,0.039845109,0.0,0.047544756,0.014422807,0.11036534,0.131634772,0.002761098,0.0,0.133879567,0.213603457,0.002166227,0.003232505,0.023098939,0.133251024,0.037948257,0.007576183,0.0,0.01335653,0.0,0.007205792,-75.003,38.798,15.0,5.568684049685606,5.0166511487150585,25.406462324961367,29.838333494402363,0.5520329009705476,4.431871169440996
6,0.009928524,0.08070373,0.0,0.0,0.0,0.0,0.055974351,0.0,0.054606881,0.011996966,0.012594516,0.156856887,0.0,0.0,0.140998828,0.359460826,0.0,0.0,0.014214796,0.020845303,0.021488819,0.026004918,0.0,0.02047758,0.0,0.009434396,-74.806,38.78,16.0,5.839688294891533,5.689212152406012,29.99212559189994,30.134361684288475,0.15047614248552144,0.1422360923885364
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283855841,0.0,0.0,0.19472072,0.0,0.0,0.044246114,0.280565745,0.0,0.0,0.0,0.176039027,0.0,0.020572552,0.0,0.0,0.0,0.0,-74.655,38.974,17.0,5.716317332044432,5.635537131400707,30.330456307791195,30.343290774990994,0.08078020064372549,0.012834467199798638
8,0.0,0.039378362,0.007680662,0.000752671,0.002215247,0.002386308,0.009767613,0.0,0.037154563,0.007595132,0.009562339,0.115132958,0.000487525,0.0,0.024701284,0.552913605,0.0,0.0,0.143400874,0.0,0.002694219,0.024735496,0.002138269,0.000846755,0.0,0.001967208,-74.743,39.046,18.0,5.649795878905556,5.5950728931976235,30.33386762442744,30.335781992514498,0.054722985707932104,0.0019143680870570279
9,0.0,0.044625653,0.0,0.00664375,0.0,0.0,0.055585529,0.0,0.045920491,0.0,0.014952291,0.100380744,0.026497927,0.0,0.000477857,0.339324526,0.0,0.0,0.261171828,0.0,0.015183512,0.089235892,0.0,0.0,0.0,0.0,-74.732,39.06,19.0,5.517047808032962,5.507757606996503,30.215508951383743,30.21511765704366,0.0092902010364595,0.0003912943400834479
