station_id,project,date,sampling_bout,gear,sample_grp,station,location,replicate,primers,category,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_menhaden_LS17,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon,PCA1,PCA2,tSNE1,tSNE2
NJOT_Jun_23_32,NJOT,6/1/23,Jun_23,edna,Trawl,32,B,1,bony,1,0.089051387,0.075828909,0.039767605,0.0,0.045777822,0.0,0.0,0.011619754,0.1695883,0.034358409,0.0,0.033256536,0.0,0.074426525,0.062005409,0.015726735,0.0,0.0,0.0,0.0,0.030051087,0.012521286,0.0,0.0,0.0,0.149854753,0.104277271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027246319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015025543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009616348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17342126138387062,-0.13092451803942523,29.93335,-1.7785938
NJOT_Jun_23_33,NJOT,6/1/23,Jun_23,edna,Trawl,33,B,1,bony,1,0.001670724,0.11248747,0.132440689,0.012100816,0.00522698,0.0,0.043462695,0.014750107,0.007207981,0.029786625,0.001646857,0.029977565,0.0,0.032364313,0.034440785,0.122440212,0.0,0.0,0.0,0.0,0.029882095,0.067712063,0.0,0.0,0.0,0.185521982,0.029213805,0.0,0.0,0.0,0.001288844,0.032984868,0.0,0.0,0.001074037,0.014272758,0.054489474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003556256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06094872707421531,-0.07617629535363361,27.45414,-4.179847
NJOT_Jun_23_35,NJOT,6/1/23,Jun_23,edna,Trawl,35,B,1,bony,1,0.000207733,0.064646577,0.069175161,0.015233769,0.001800355,0.0,0.418014624,0.005096388,0.004182362,0.013004099,0.007492245,0.016729448,0.0,0.015815422,0.049094283,0.058400731,0.0,0.0,0.0,0.000733991,0.014887547,0.044274873,0.0,0.000180035,0.0,0.03737813,0.005110237,0.0,0.0,0.0,0.026769887,0.00668901,0.0,0.0,0.0,0.003573011,0.089463771,0.0,0.0,0.0,0.014181254,0.0,0.0,0.000387769,0.000276978,0.003019056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001938843,0.011619211,0.000166187,0.0,0.0,0.0,0.000166187,0.000290827,0.0,0.0,0.0,0.0,-0.23961161041615525,0.33674727336503574,6.59524,13.757274
NJOT_Jun_23_36,NJOT,6/1/23,Jun_23,edna,Trawl,36,B,1,bony,1,0.016348774,0.023614896,0.0,0.025431426,0.0,0.0,0.124432334,0.0,0.0,0.0,0.0,0.025431426,0.0,0.009990917,0.007266122,0.018165304,0.0,0.0,0.0,0.0,0.0,0.010899183,0.0,0.0,0.0,0.0626703,0.0,0.0,0.0,0.0,0.670299728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005449591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24505218959166183,0.25476778327104477,-6.267398,20.369667
NJOT_Jun_23_39,NJOT,6/1/23,Jun_23,edna,Trawl,39,B,1,bony,1,0.000262177,0.002584318,0.000299631,0.0221727,0.154147706,0.0,0.033483773,0.046467787,0.016648252,0.000543081,0.001448217,0.083465983,0.0,0.000193512,0.057716437,0.151432299,0.0,0.0,0.0,0.0,0.118560273,0.031754652,0.0,0.000237208,0.0,0.044145646,0.002072448,0.0,0.0,0.0,0.0,0.00034957,0.0,0.0,0.0,0.0,0.001379551,0.0,0.0,0.0,0.000867682,0.0,0.0,0.0,0.000237208,0.0,0.0,0.0,0.0,0.0,0.0,0.22831264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000443204,0.000624231,0.0,0.000149816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05010942196780682,0.02003840214433601,14.048017,1.89777
NJOT_Jun_23_40,NJOT,6/1/23,Jun_23,edna,Trawl,40,B,1,bony,1,0.106499111,0.033637979,0.005077431,0.027164255,0.098629094,0.0,0.014216806,0.086062452,0.01320132,0.026275704,0.003808073,0.016247779,0.0,0.114876872,0.160700685,0.098629094,0.0,0.0,0.0,0.0,0.034272658,0.061183041,0.0,0.001396293,0.0,0.057755776,0.0,0.0,0.0,0.0,0.0,0.001142422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022721503,0.0,0.001777101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014724549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021250779020448383,-0.10335536804744161,17.167831,-5.6875563
NJOT_Jun_23_41,NJOT,6/1/23,Jun_23,edna,Trawl,41,B,1,bony,1,0.093378227,0.0,0.005925926,0.009259259,0.17037037,0.0,0.022940516,0.158013468,0.020707071,0.113030303,0.005600449,0.066363636,0.0,0.065342312,0.050639731,0.071762065,0.0,0.0,0.0,0.0,0.061470258,0.049921437,0.0,0.0,0.0,0.007261504,0.005028058,0.0,0.0,0.0,0.0,0.001818182,0.0,0.0,0.0,0.001066218,0.000998878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019102132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024257030343993506,-0.06031684620272314,14.22489,-4.620416
NJOT_Jun_23_43,NJOT,6/1/23,Jun_23,edna,Trawl,43,B,1,bony,1,0.002018198,0.378634467,0.303311213,0.000889375,0.00998837,0.0,0.002770746,0.005062598,0.000855169,0.040945474,0.0,0.006088801,0.0,0.069337073,0.067318875,0.010569884,0.0,0.0,0.0,0.005302046,0.005302046,0.017650681,0.0,0.0,0.0,0.0,0.005541493,0.0,0.0,0.0,0.0,0.01135664,0.0,0.0,0.0,0.054080865,0.002599713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000376274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14728526917785692,-0.24380169516886122,-5.62881,-17.40719
NJOT_Jun_23_45,NJOT,6/1/23,Jun_23,edna,Trawl,45,B,1,bony,1,0.029467352,0.486064897,0.068943488,0.00119786,0.026166582,0.0,0.009689355,0.015545559,0.00388639,0.083637235,0.0,0.01698299,0.0,0.116006069,0.035057364,0.013655602,0.0,0.0,0.0,0.009955546,0.002289243,0.017994516,0.0,0.001517289,0.0,0.011499454,0.001996433,0.0,0.0,0.0,0.0,0.012058456,0.0,0.0,0.0,0.034152315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002236005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14587954502732717,-0.27837278211853506,-4.8574014,-13.9991
NJOT_Jun_23_46,NJOT,6/1/23,Jun_23,edna,Trawl,46,B,1,bony,1,0.008543437,0.04004736,0.027475972,0.000266982,0.008555045,0.0,0.008822027,0.010981102,0.035473836,0.07987417,0.0,0.018236059,0.0,0.554081348,0.085039699,0.007614802,0.0,0.0,0.0,0.00431815,0.001717974,0.034127316,0.0,0.0,0.0,0.001520639,0.00330826,0.0,0.0,0.0,0.0,0.000835771,0.0,0.001195617,0.0,0.002054604,0.063031063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000313414,0.0,0.000603612,0.0,0.0,0.0,0.0,0.000499141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001300088,8.13e-05,0.0,0.0,0.0,0.0,0.0,8.13e-05,0.0,0.0,0.0,-0.12930386610056152,-0.28531532891245237,11.063778,-13.006836
